transaction_id,entity,matched_invoice_id,transaction_date,amount
MC-BANK9032,Meridian Coastal,MC-INV5035,2025-11-16,14233.44
MC-BANK9033,Meridian Coastal,MC-INV5036,2025-06-23,7090.18
MC-BANK9034,Meridian Coastal,MC-INV5037,2025-04-12,11156.58
MC-BANK9035,Meridian Coastal,MC-INV5038,2025-02-15,16609.38
MC-BANK9036,Meridian Coastal,MC-INV5039,2025-06-27,14255.13
MC-BANK9037,Meridian Coastal,MC-INV5040,2025-09-11,14178.51
MC-BANK9038,Meridian Coastal,MC-INV5041,2025-10-06,12160.92
MC-BANK9039,Meridian Coastal,MC-INV5042,2025-08-08,10511.7
MC-BANK9040,Meridian Coastal,MC-INV5043,2025-05-23,4806.82
MC-BANK9041,Meridian Coastal,MC-INV5044,2025-04-21,13872.39
MC-BANK9042,Meridian Coastal,MC-INV5045,2025-10-15,1105.17
MC-BANK9043,Meridian Coastal,MC-INV5047,2025-08-18,1767.38
MC-BANK9044,Meridian Coastal,MC-INV5048,2025-11-20,17830.77
MC-BANK9045,Meridian Coastal,MC-INV5049,2025-09-30,5398.22
MC-BANK9046,Meridian Coastal,MC-INV5050,2025-06-02,1743.57
MC-BANK9047,Meridian Coastal,MC-INV5051,2025-03-03,17016.91
MC-BANK9048,Meridian Coastal,MC-INV5052,2025-06-07,17210.25
MC-BANK9049,Meridian Coastal,MC-INV5053,2025-08-06,17527.73
MC-BANK9050,Meridian Coastal,MC-INV5054,2025-10-23,6382.78
MC-BANK9051,Meridian Coastal,MC-INV5055,2025-12-01,14621.84
MC-BANK9052,Meridian Coastal,MC-INV5056,2025-01-29,5421.76
MC-BANK9053,Meridian Coastal,MC-INV5057,2025-07-08,4160.69
MC-BANK9054,Meridian Coastal,MC-INV5058,2025-07-04,3870.77
MC-BANK9055,Meridian Coastal,MC-INV5059,2025-09-18,11413.72
MC-BANK9056,Meridian Coastal,MC-INV5061,2025-09-12,17392.66
MC-BANK9057,Meridian Coastal,MC-INV5062,2025-08-28,12519.79
MC-BANK9058,Meridian Coastal,MC-INV5063,2025-06-16,5093.64
MC-BANK9059,Meridian Coastal,MC-INV5064,2025-07-17,3450.97
MC-BANK9060,Meridian Coastal,MC-INV5065,2025-08-11,15881.27
MC-BANK9061,Meridian Coastal,MC-INV5066,2025-05-28,9612.08
MC-BANK9062,Meridian Coastal,MC-INV5067,2025-05-22,1251.67
MC-BANK9063,Meridian Coastal,MC-INV5068,2025-10-20,6464.97
MC-BANK9064,Meridian Coastal,MC-INV5069,2025-10-12,3352.79
MC-BANK9065,Meridian Coastal,MC-INV5070,2025-07-23,17703.51
MC-BANK9066,Meridian Coastal,MC-INV5071,2025-03-26,3122.69
MC-BANK9067,Meridian Coastal,MC-INV5072,2025-08-27,13873.88
MC-BANK9068,Meridian Coastal,MC-INV5073,2025-12-08,4767.72
MC-BANK9069,Meridian Coastal,MC-INV5074,2025-03-04,14187.68
MC-BANK9070,Meridian Coastal,MC-INV5075,2025-06-15,4694.98
MC-BANK9071,Meridian Coastal,MC-INV5076,2025-09-07,17304.64
MC-BANK9072,Meridian Coastal,MC-INV5077,2025-12-03,16248.34
MC-BANK9073,Meridian Coastal,MC-INV5078,2025-03-20,4917.46
MC-BANK9074,Meridian Coastal,MC-INV5079,2025-12-30,17070.32
MC-BANK9075,Meridian Coastal,MC-INV5080,2025-07-17,8170.9
MC-BANK9076,Meridian Coastal,MC-INV5081,2025-08-20,11624.68
MC-BANK9077,Meridian Coastal,MC-INV5082,2025-08-10,2657.05
MC-BANK9078,Meridian Coastal,MC-INV5083,2025-02-25,2941.94
MC-BANK9079,Meridian Coastal,MC-INV5084,2025-03-05,9207.18
MC-BANK9080,Meridian Coastal,MC-INV5085,2025-08-05,1622.09
MC-BANK9081,Meridian Coastal,MC-INV5086,2025-07-25,14245.47
MC-BANK9082,Meridian Coastal,MC-INV5087,2025-04-12,9712.9
MC-BANK9083,Meridian Coastal,MC-INV5088,2025-03-19,2391.3
MC-BANK9084,Meridian Coastal,MC-INV5089,2025-06-05,11763.88
MC-BANK9085,Meridian Coastal,MC-INV5090,2025-02-20,12782.26
MC-BANK9086,Meridian Coastal,MC-INV5091,2025-11-24,1251.96
MC-BANK9087,Meridian Coastal,MC-INV5092,2025-11-30,8200.49
MC-BANK9088,Meridian Coastal,MC-INV5093,2025-09-01,10408.1
MC-BANK9089,Meridian Coastal,MC-INV5094,2025-07-26,15941.29
MC-BANK9090,Meridian Coastal,MC-INV5095,2025-02-18,14388.09
MC-BANK9091,Meridian Coastal,MC-INV5096,2025-06-17,17897.44
MC-BANK9092,Meridian Coastal,MC-INV5097,2025-12-05,6059.14
MC-BANK9093,Meridian Coastal,MC-INV5098,2025-09-18,11926.14
MC-BANK9094,Meridian Coastal,MC-INV5099,2025-03-22,390.13
MC-BANK9095,Meridian Coastal,MC-INV5100,2025-10-22,15234.19
MC-BANK9096,Meridian Coastal,MC-INV5101,2025-05-16,17776.77
MC-BANK9097,Meridian Coastal,MC-INV5102,2025-10-29,13897.72
MC-BANK9098,Meridian Coastal,MC-INV5103,2025-08-17,16349.82
MC-BANK9099,Meridian Coastal,MC-INV5104,2025-08-31,10243.99
MC-BANK9100,Meridian Coastal,MC-INV5105,2025-10-23,10162.24
MC-BANK9101,Meridian Coastal,MC-INV5106,2025-02-08,11082.25
MC-BANK9102,Meridian Coastal,MC-INV5107,2025-02-02,14307.45
MC-BANK9103,Meridian Coastal,MC-INV5108,2025-09-01,6885.97
MC-BANK9104,Meridian Coastal,MC-INV5109,2025-04-04,13427.7
MC-BANK9105,Meridian Coastal,MC-INV5110,2025-11-10,14983.06
MC-BANK9106,Meridian Coastal,MC-INV5111,2025-04-12,16110.58
MC-BANK9107,Meridian Coastal,MC-INV5112,2025-07-10,10516.15
MC-BANK9108,Meridian Coastal,MC-INV5113,2025-11-26,10705.93
MC-BANK9109,Meridian Coastal,MC-INV5114,2025-11-13,4967.94
MC-BANK9110,Meridian Coastal,MC-INV5115,2025-09-15,7404.1
MC-BANK9111,Meridian Coastal,MC-INV5116,2025-07-23,2214.92
MC-BANK9112,Meridian Coastal,MC-INV5117,2025-05-03,18262.91
MC-BANK9113,Meridian Coastal,MC-INV5118,2025-12-25,15798.22
MC-BANK9114,Meridian Coastal,MC-INV5119,2025-03-02,6449.03
MC-BANK9115,Meridian Coastal,MC-INV5120,2025-10-15,9013.53
MC-BANK9116,Meridian Coastal,MC-INV5122,2025-03-01,12315.71
MC-BANK9117,Meridian Coastal,MC-INV5123,2025-07-27,9481.72
MC-BANK9118,Meridian Coastal,MC-INV5125,2025-08-10,6676.44
MC-BANK9119,Meridian Coastal,MC-INV5126,2025-03-19,4289.44
MC-BANK9120,Meridian Coastal,MC-INV5127,2025-11-17,16164.07
MC-BANK9121,Meridian Coastal,MC-INV5128,2025-07-25,12122.87
MC-BANK9122,Meridian Coastal,MC-INV5129,2025-04-08,8041.68
MC-BANK9123,Meridian Coastal,MC-INV5130,2025-05-06,2820.34
MC-BANK9124,Meridian Coastal,MC-INV5131,2025-12-23,17275.14
MC-BANK9125,Meridian Coastal,MC-INV5132,2025-11-21,4387.22
MC-BANK9126,Meridian Coastal,MC-INV5133,2025-11-13,8751.81
MC-BANK9127,Meridian Coastal,MC-INV5134,2025-02-08,17149.73
MC-BANK9128,Meridian Coastal,MC-INV5135,2025-09-22,12772.28
MC-BANK9129,Meridian Coastal,MC-INV5136,2025-07-20,10645.0
MC-BANK9130,Meridian Coastal,MC-INV5137,2025-07-02,9668.19
MC-BANK9131,Meridian Coastal,MC-INV5139,2025-05-22,5738.57
MC-BANK9132,Meridian Coastal,MC-INV5140,2025-09-07,15378.55
MC-BANK9133,Meridian Coastal,MC-INV5141,2025-11-03,8423.76
MC-BANK9134,Meridian Coastal,MC-INV5143,2025-08-30,13128.57
MC-BANK9135,Meridian Coastal,MC-INV5144,2025-10-26,16138.45
MC-BANK9136,Meridian Coastal,MC-INV5145,2025-07-20,2564.33
MC-BANK9137,Meridian Coastal,MC-INV5146,2025-01-28,11306.51
MC-BANK9138,Meridian Coastal,MC-INV5147,2025-11-20,5253.37
MC-BANK9139,Meridian Coastal,MC-INV5148,2025-03-03,2817.62
MC-BANK9140,Meridian Coastal,MC-INV5149,2025-08-15,5368.38
MC-BANK9141,Meridian Coastal,MC-INV5150,2025-07-14,17242.65
MC-BANK9142,Meridian Coastal,MC-INV5151,2025-02-28,12896.27
MC-BANK9143,Meridian Coastal,MC-INV5152,2025-11-02,13540.52
MC-BANK9144,Meridian Coastal,MC-INV5153,2025-08-16,9790.93
MC-BANK9145,Meridian Coastal,MC-INV5155,2025-09-04,15712.08
MC-BANK9146,Meridian Coastal,MC-INV5156,2025-02-14,11905.35
MC-BANK9147,Meridian Coastal,MC-INV5157,2025-04-07,13442.68
MC-BANK9148,Meridian Coastal,MC-INV5158,2025-09-11,16961.59
MC-BANK9149,Meridian Coastal,MC-INV5159,2025-09-04,13776.43
MC-BANK9150,Meridian Coastal,MC-INV5160,2025-12-23,6237.05
MC-BANK9151,Meridian Coastal,MC-INV5161,2025-04-13,11071.77
MC-BANK9152,Meridian Coastal,MC-INV5162,2025-07-18,8442.48
MC-BANK9153,Meridian Coastal,MC-INV5163,2025-03-31,9006.87
MC-BANK9154,Meridian Coastal,MC-INV5164,2025-05-05,14269.98
MC-BANK9155,Meridian Coastal,MC-INV5165,2025-08-31,2275.59
MC-BANK9156,Meridian Coastal,MC-INV5166,2025-04-17,9702.6
MC-BANK9157,Meridian Coastal,MC-INV5168,2025-05-19,14330.64
MC-BANK9158,Meridian Coastal,MC-INV5169,2025-09-27,2028.59
MC-BANK9159,Meridian Coastal,MC-INV5170,2025-06-22,16540.66
MC-BANK9160,Meridian Coastal,MC-INV5171,2025-04-12,7975.65
MC-BANK9161,Meridian Coastal,MC-INV5172,2025-07-10,13231.69
MC-BANK9162,Meridian Coastal,MC-INV5173,2025-09-28,1934.78
MC-BANK9163,Meridian Coastal,MC-INV5174,2025-11-21,3514.53
MC-BANK9164,Meridian Coastal,MC-INV5175,2025-05-04,6598.94
MC-BANK9165,Meridian Coastal,MC-INV5176,2025-08-09,6129.71
MC-BANK9166,Meridian Coastal,MC-INV5177,2025-06-10,10204.86
MC-BANK9167,Meridian Coastal,MC-INV5178,2025-10-30,4483.43
MC-BANK9168,Meridian Coastal,MC-INV5179,2025-09-02,6120.69
MC-BANK9169,Meridian Coastal,MC-INV5180,2025-07-21,1278.2
MC-BANK9170,Meridian Coastal,MC-INV5181,2025-10-28,5499.08
MC-BANK9171,Meridian Coastal,MC-INV5182,2025-08-09,13321.47
MC-BANK9172,Meridian Coastal,MC-INV5183,2025-07-06,1295.23
MC-BANK9173,Meridian Coastal,MC-INV5185,2025-03-02,7384.82
MC-BANK9174,Meridian Coastal,MC-INV5186,2025-05-24,3603.96
MC-BANK9175,Meridian Coastal,MC-INV5188,2025-08-12,15933.8
MC-BANK9176,Meridian Coastal,MC-INV5189,2025-08-10,11243.92
MC-BANK9177,Meridian Coastal,MC-INV5190,2025-07-18,764.03
MC-BANK9178,Meridian Coastal,MC-INV5192,2025-12-12,13759.94
MC-BANK9179,Meridian Coastal,MC-INV5193,2025-10-11,9557.37
MC-BANK9180,Meridian Coastal,MC-INV5194,2025-05-03,798.24
MC-BANK9181,Meridian Coastal,MC-INV5195,2025-04-27,5503.67
MC-BANK9182,Meridian Coastal,MC-INV5196,2025-06-24,2582.09
MC-BANK9183,Meridian Coastal,MC-INV5197,2025-04-25,3368.58
MC-BANK9184,Meridian Coastal,MC-INV5198,2025-11-09,17287.83
MC-BANK9185,Meridian Coastal,MC-INV5199,2025-12-19,15597.64
MC-BANK9186,Meridian Coastal,MC-INV5200,2025-08-12,8889.49
MC-BANK9187,Meridian Coastal,MC-INV5202,2025-12-01,6642.75
MC-BANK9188,Meridian Coastal,MC-INV5203,2025-06-16,14337.32
MC-BANK9189,Meridian Coastal,MC-INV5205,2025-12-25,5348.5
MC-BANK9190,Meridian Coastal,MC-INV5206,2025-11-14,11858.82
MC-BANK9191,Meridian Coastal,MC-INV5207,2025-05-30,4798.71
MC-BANK9192,Meridian Coastal,MC-INV5208,2025-12-28,16727.23
MC-BANK9193,Meridian Coastal,MC-INV5209,2025-03-18,3415.01
MC-BANK9194,Meridian Coastal,MC-INV5210,2025-05-14,10070.6
MC-BANK9195,Meridian Coastal,,2025-02-06,237.11
MC-BANK9196,Meridian Coastal,,2025-05-09,315.35
MC-BANK9197,Meridian Coastal,,2025-01-10,360.67
MC-BANK9198,Meridian Coastal,,2025-03-18,268.09
